Country,Austria,France,Italy,Netherlands,Spain,United Kingdom,,
 Djibouti ,,1,1,,,,,
 Dominica ,,2,1,1,2,5,,
 Dominican Republic ,3,16,6,5,11,11,,
 East Timor ,,1,1,,,2,,
 Ecuador ,11,11,7,9,11,12,,
 Egypt ,270,511,255,289,396,667,,
 El Salvador ,2,7,2,2,6,5,,
 Equatorial Guinea ,1,1,,,,,,
 Eritrea ,,,2,,,,,
 Estonia ,155,85,159,73,108,177,,
 Ethiopia ,2,8,6,3,5,8,,
 Falkland Islands Malvinas ,,,,,,6,,
 Faroe Islands ,1,1,,3,3,8,,
 Fiji ,1,2,2,2,1,4,,
 Finland ,254,202,230,219,302,622,,
 France ,518,1860,724,762,1080,2352,,
 French Guiana ,,4,,,,,,
 French Polynesia ,,2,,1,,,,
 Gabon ,1,4,,1,,1,,
 Gambia ,,1,1,1,,2,,
 Georgia ,60,38,55,55,40,46,,
 Germany ,1040,1245,944,1281,1102,2329,,
 Ghana ,7,15,6,24,19,74,,
 Gibraltar ,20,24,16,46,65,209,,
 Greece ,563,376,632,371,371,1093,,
 Grenada ,,,,,,3,,
 Guadeloupe ,,2,,1,,2,,
 Guam ,,4,,5,2,3,,
 Guatemala ,5,9,4,4,9,22,,
 Guernsey ,7,19,10,25,25,457,,
 Guinea ,,,,1,,,,
 Guyana ,,2,,1,1,1,,
 Haiti ,2,2,1,,1,,,
 Honduras ,2,3,1,2,5,9,,
 Hong Kong ,225,477,366,302,278,1365,,
 Hungary ,908,155,274,192,306,350,,
 Iceland ,21,135,50,146,169,412,,
 India ,473,653,356,519,356,1080,,
 Indonesia ,113,367,203,357,98,410,,
 Iran ,165,241,203,175,247,55,,
 Iraq ,50,81,28,40,57,34,,
 Ireland ,710,1327,607,3029,2134,7020,,
 Isle of Man ,7,12,8,31,22,325,,
 Israel ,1029,691,705,1214,1173,1798,,
 Italy ,664,713,1451,652,743,1891,,
 Ivory Coast ,1,8,1,1,2,6,,
 Jamaica ,1,4,1,2,5,28,,
 Japan ,157,266,163,114,125,454,,
 Jersey ,20,33,12,47,39,712,,
 Jordan ,106,123,65,99,114,250,,
 Kazakhstan ,30,48,36,34,37,96,,
 Kenya ,21,38,14,29,21,146,,
 Kiribati ,,,,,,2,,
 Kosovo ,25,12,14,8,1,12,,
 Kuwait ,331,644,508,472,568,2397,,
 Kyrgyzstan ,2,4,7,5,3,,,
 Laos ,,4,2,1,,2,,
 Latvia ,113,88,135,77,115,191,,
 Lebanon ,153,755,362,192,339,460,,
 Lesotho ,,,,,1,2,,
 Liberia ,,2,,,,1,,
 Libya ,10,16,13,3,11,19,,
 Liechtenstein ,4,3,1,,1,11,,
 Lithuania ,102,100,161,69,145,150,,
 Luxembourg ,151,265,138,194,134,477,,
 Macau ,12,15,12,13,15,42,,
 Macedonia ,96,25,48,30,63,20,,
 Madagascar ,1,7,,,,,,
 Malawi ,,,,,2,8,,
 Malaysia ,121,342,198,265,109,848,,
 Maldives ,2,15,2,3,5,22,,
 Mali ,1,2,,1,,1,,
 Malta ,251,143,340,190,194,567,,
 Martinique ,,4,,,,1,,
 Mauritania ,,7,,,1,,,
 Mauritius ,9,54,15,14,19,105,,
 Mexico ,64,159,64,86,61,158,,
 Moldova ,53,8,21,5,14,7,,
 Monaco ,15,37,44,7,30,117,,
 Mongolia ,13,8,3,4,3,8,,
 Montenegro ,56,19,66,15,16,20,,
 Montserrat ,,,,,,2,,
 Morocco ,6,68,14,18,64,59,,
 Mozambique ,2,7,3,6,9,8,,
 Myanmar ,1,4,2,2,4,5,,
 Namibia ,5,11,5,17,1,28,,
 Nepal ,1,5,1,3,1,4,,
 Netherlands ,808,1485,777,1733,1232,2737,,
 New Caledonia ,,6,,1,2,1,,
 New Zealand ,256,491,260,330,417,1483,,
 Nicaragua ,1,2,1,4,1,6,,
 Niger ,,2,,,,,,
 Nigeria ,27,132,61,39,42,676,,
 Northern Mariana Islands ,,,,,1,,,
 Norway ,181,278,157,281,441,1045,,
 Oman ,93,197,181,134,118,611,,
 Pakistan ,69,170,107,118,103,349,,
 Palau ,,,1,,,,,
 Palestinian Territory ,14,9,5,5,11,10,,
 Panama ,10,26,11,21,24,30,,
 Papua New Guinea ,2,1,2,2,,7,,
 Paraguay ,2,8,5,2,,11,,
 Peru ,17,25,7,21,23,25,,
 Philippines ,93,248,151,136,131,314,,
 Poland ,607,324,406,337,519,698,,
 Portugal ,179,269,188,260,264,679,,
 Puerto Rico ,13,35,23,25,54,30,,
 Qatar ,248,435,291,216,355,1212,,
 Reunion ,,3,,1,1,1,,
 Romania ,1807,319,784,456,583,603,,
 Russia ,819,570,631,530,556,794,,
 Rwanda ,,5,,4,1,3,,
 Saint Barts ,,1,,,1,1,,
 Saint Kitts and Nevis ,1,4,,1,1,2,,
 Saint Lucia ,,1,,,1,6,,
 Saint Martin ,,1,,1,1,1,,
 Saint Vincent Grenadines ,,,,1,,1,,
 Samoa ,1,,,,1,2,,
 San Marino ,1,,,1,,1,,
 Saudi Arabia ,588,1994,1124,841,1202,3202,,
 Senegal ,2,10,1,2,2,7,,
 Serbia ,610,80,184,69,93,88,,
 Seychelles ,1,5,1,3,4,7,,
 Sierra Leone ,,3,,,,3,,
 Singapore ,200,494,398,357,358,1284,,
 Slovakia ,306,73,130,109,108,177,,
 Slovenia ,357,54,115,71,77,122,,
 Somalia ,,,1,,1,1,,
 South Africa ,256,598,312,616,543,1496,,
 South Korea ,179,219,149,75,189,267,,
 South Sudan ,1,,,1,,,,
 Spain ,319,452,304,439,1778,1445,,
 Sri Lanka ,36,48,37,45,24,94,,
 St Maarten ,1,3,,6,1,,,
 St Pierre and Miquelon ,,2,,,,,,
 Sudan ,3,8,2,11,15,12,,
 Suriname ,1,4,1,3,1,1,,
 Svalbard Jan Mayen ,,1,,,,,,
 Swaziland ,,1,1,2,2,2,,
 Sweden ,289,410,309,342,586,1432,,
 Switzerland ,795,1221,1760,743,1167,2992,,
 Syria ,2,9,6,6,5,5,,
 Taiwan ,143,157,143,124,92,264,,
 Tajikistan ,3,2,7,1,2,1,,
 Tanzania ,4,15,5,8,5,21,,
 Thailand ,277,335,267,188,137,676,,
 Togo ,1,3,1,,,2,,
 Trinidad and Tobago ,3,22,5,8,17,99,,
 Tunisia ,9,13,12,8,15,19,,
 Turkey ,716,826,870,936,820,1276,,
 Turkmenistan ,2,,,,,3,,
 Turks Caicos Islands ,,4,1,,3,6,,
 Tuvalu ,,,1,,,,,
 U S Virgin Islands ,1,2,3,4,3,4,,
 Uganda ,5,8,4,2,2,26,,
 Ukraine ,314,133,170,142,172,171,,
 United Arab Emirates ,1163,1539,1241,1097,1331,3864,,
 United Kingdom ,7507,16908,6205,23016,20961,170649,,
 United States Minor Outlying Islands ,2,6,4,8,13,41,,
 United States of America ,3104,7279,3082,4792,6169,11011,,
 Uruguay ,6,11,16,7,15,36,,
 Uzbekistan ,3,,2,,3,12,,
 Vanuatu ,1,1,1,,2,3,,
 Vatican City ,1,,,,,,,
 Venezuela ,10,16,13,13,17,9,,
 Vietnam ,25,52,26,14,16,54,,
 Wallis and Futuna ,,,,1,,1,,
 Yemen ,1,3,6,1,2,3,,
 Zambia ,1,5,5,2,4,20,,
 Zimbabwe ,2,7,5,2,3,32,,
